Country,Code,Longitude,Latitude,Year,Month,Temperature,Tourists
Mexico,MEX,-102.552784,23.634501,2016,September,25.17,1193952
Spain,ESP,-3.74922,40.463667,2016,September,19.13,7932610
Switzerland,CHE,46.818188,8.227512,2016,September,10.77,1770000
United Kingdom,GBR,-3.435973,55.378051,2016,September,11.91,3120000
Turkey,TUR,35.243322,38.963745,2016,September,21.51,2800000
Egypt,EGY,30.802498,26.820553,2016,September,30.17,473000
Jordan,JOR,36.238414,30.585164,2016,September,27.85,614900
Austria,AUT,14.550072,47.516231,2016,September,11.98,3724030
Bulgaria,BGR,25.48583,42.733883,2016,September,19.51,1250000
Argentina,ARG,-63.616672,-38.416097,2016,October,13.23,198000
Australia,AUS,133.775136,-25.274398,2016,October,24.98,700000
Canada,CAN,-106.346771,56.130366,2016,October,-3.56,2300000
India,IND,78.96288,20.593684,2016,October,25.94,870000
Indonesia,IDN,113.921327,-0.789275,2016,October,26.55,910000
Japan,JPN,138.252924,36.204824,2016,October,13.54,2150000
Mexico,MEX,-102.552784,23.634501,2016,October,22.59,1438109
Spain,ESP,-3.74922,40.463667,2016,October,14.91,7137720
Switzerland,CHE,46.818188,8.227512,2016,October,6.93,1437000
United Kingdom,GBR,-3.435973,55.378051,2016,October,10.08,3280000
Turkey,TUR,35.243322,38.963745,2016,October,14.49,2490000
Egypt,EGY,30.802498,26.820553,2016,October,26.7,506000
Jordan,JOR,36.238414,30.585164,2016,October,23.33,442300
Austria,AUT,14.550072,47.516231,2016,October,7.53,2734600
Bulgaria,BGR,25.48583,42.733883,2016,October,11.68,700000
Argentina,ARG,-63.616672,-38.416097,2016,November,17.27,220000
Australia,AUS,133.775136,-25.274398,2016,November,26.94,710000
Canada,CAN,-106.346771,56.130366,2016,November,-11.98,1650000
India,IND,78.96288,20.593684,2016,November,22.35,1000000
Indonesia,IDN,113.921327,-0.789275,2016,November,26.4,850100
Japan,JPN,138.252924,36.204824,2016,November,9.28,1870000
Mexico,MEX,-102.552784,23.634501,2016,November,19.45,1713581
Spain,ESP,-3.74922,40.463667,2016,November,11.15,4098260
Switzerland,CHE,46.818188,8.227512,2016,November,4.58,1021000
United Kingdom,GBR,-3.435973,55.378051,2016,November,8.21,3100000
Turkey,TUR,35.243322,38.963745,2016,November,8.45,1350000
Egypt,EGY,30.802498,26.820553,2016,November,20.11,500000
Jordan,JOR,36.238414,30.585164,2016,November,15.96,440000
Austria,AUT,14.550072,47.516231,2016,November,4.91,1905800
Bulgaria,BGR,25.48583,42.733883,2016,November,8.67,500000
Argentina,ARG,-63.616672,-38.416097,2016,December,20.31,238000
Australia,AUS,133.775136,-25.274398,2016,December,28.06,980000
Canada,CAN,-106.346771,56.130366,2016,December,-18.18,2001000
India,IND,78.96288,20.593684,2016,December,18.61,1190000
Indonesia,IDN,113.921327,-0.789275,2016,December,26.41,951000
Japan,JPN,138.252924,36.204824,2016,December,4.05,2050000
Mexico,MEX,-102.552784,23.634501,2016,December,16.73,2496240
Spain,ESP,-3.74922,40.463667,2016,December,8.42,3990450
Switzerland,CHE,46.818188,8.227512,2016,December,1.88,1194000
United Kingdom,GBR,-3.435973,55.378051,2016,December,6.92,2860000
Turkey,TUR,35.243322,38.963745,2016,December,0.97,1300000
Egypt,EGY,30.802498,26.820553,2016,December,13.83,552000
Jordan,JOR,36.238414,30.585164,2016,December,8.91,440500
Austria,AUT,14.550072,47.516231,2016,December,1.39,3200600
Bulgaria,BGR,25.48583,42.733883,2016,December,1.95,500100
Argentina,ARG,-63.616672,-38.416097,2017,January,20.80,250000
Australia,AUS,133.775136,-25.274398,2017,January,27.78,710000
Canada,CAN,-106.346771,56.130366,2017,January,-24.62,1500000
India,IND,78.96288,20.593684,2017,January,16.84,990000
Indonesia,IDN,113.921327,-0.789275,2017,January,25.51,1100000
Japan,JPN,138.252924,36.204824,2017,January,-1.27,2300000
Mexico,MEX,-102.552784,23.634501,2017,January,14.80,1831507
Spain,ESP,-3.74922,40.463667,2017,January,5.59,3904300
Switzerland,CHE,46.818188,8.227512,2017,January,-3.24,1179000
United Kingdom,GBR,-3.435973,55.378051,2017,January,2.99,2850000
Turkey,TUR,35.243322,38.963745,2017,January,-0.52,1000000
Egypt,EGY,30.802498,26.820553,2017,January,12.93,544000
Jordan,JOR,36.238414,30.585164,2017,January,8.34,521900
Austria,AUT,14.550072,47.516231,2017,January,-3.52,3481700
Bulgaria,BGR,25.48583,42.733883,2017,January,-1.18,480000
Argentina,ARG,-63.616672,-38.416097,2017,February,19.90,180500
Australia,AUS,133.775136,-25.274398,2017,February,27.23,780000
Canada,CAN,-106.346771,56.130366,2017,February,-23.25,1409000
India,IND,78.96288,20.593684,2017,February,19.15,980000
Indonesia,IDN,113.921327,-0.789275,2017,February,25.62,840000
Japan,JPN,138.252924,36.204824,2017,February,-0.89,2000000
Mexico,MEX,-102.552784,23.634501,2017,February,16.20,1772479
Spain,ESP,-3.74922,40.463667,2017,February,6.76,4118210
Switzerland,CHE,46.818188,8.227512,2017,February,-2.32,1247000
United Kingdom,GBR,-3.435973,55.378051,2017,February,2.97,2300000
Turkey,TUR,35.243322,38.963745,2017,February,0.98,1100000
Egypt,EGY,30.802498,26.820553,2017,February,14.60,539000
Jordan,JOR,36.238414,30.585164,2017,February,9.95,483700
Austria,AUT,14.550072,47.516231,2017,February,-1.99,4015000
Bulgaria,BGR,25.48583,42.733883,2017,February,0.87,490000
Argentina,ARG,-63.616672,-38.416097,2017,March,17.51,215000
Australia,AUS,133.775136,-25.274398,2017,March,25.37,770000
Canada,CAN,-106.346771,56.130366,2017,March,-18.72,1600000
India,IND,78.96288,20.593684,2017,March,23.45,900000
Indonesia,IDN,113.921327,-0.789275,2017,March,25.79,910000
Japan,JPN,138.252924,36.204824,2017,March,2.52,2200000
Mexico,MEX,-102.552784,23.634501,2017,March,18.44,2110917
Spain,ESP,-3.74922,40.463667,2017,March,8.60,4907550
Switzerland,CHE,46.818188,8.227512,2017,March,0.09,1406000
United Kingdom,GBR,-3.435973,55.378051,2017,March,4.66,2920000
Turkey,TUR,35.243322,38.963745,2017,March,4.77,1600000
Egypt,EGY,30.802498,26.820553,2017,March,17.83,655000
Jordan,JOR,36.238414,30.585164,2017,March,13.08,588000
Austria,AUT,14.550072,47.516231,2017,March,1.42,3478200
Bulgaria,BGR,25.48583,42.733883,2017,March,4.70,500000
Argentina,ARG,-63.616672,-38.416097,2017,April,14.05,200000
Australia,AUS,133.775136,-25.274398,2017,April,21.87,700000
Canada,CAN,-106.346771,56.130366,2017,April,-9.79,2000000
India,IND,78.96288,20.593684,2017,April,27.43,760000
Indonesia,IDN,113.921327,-0.789275,2017,April,26.02,960000
